Sampling Location,Duplicate Sample,Sample Date,Sample Time,Weather Condition (Dry or Wet),Top Sample Temperature (ºC),Site Actual Depth (ft),Top Sample Depth(ft),Top Salinity  (psu),Top Conductivity (S/m),"CTD (conductivity, temperature, depth profiler) Top Dissolved Oxygen (mg/L)",Percentage O2 Saturation Top Sample,Light Trans (% transparency) Top Sample,Top Sigma-T (kg/m3),Top Fluorometer (mg/m3),"CTD (conductivity, temperature, depth profiler) PH Top Sample",Top Sample Photosysthetically Active Radiation Reference (400-700nm light (uE/S),Top Sample Par (uE/S m2),Oxidation Reduction Potential (mV) Top Sample,Oxidation Reduction Potential (mV) Bottom Sample,Current Speed (knot),Current Direction (Current Direction),Wind Speed (mph),Wind Direction (Wind Direction),Sea State ,Winkler Method Top Dissolved Oxygen (mg/L),Secchi Depth (ft),Top PH,Top Total Coliform Cells/100 mL,Fecal Coliform Top Sample Less Than or Greater Than Result,Top Fecal Coliform Bacteria (Cells/100mL),Enterococcus Top Sample Less Than or Greater Than Result,Top Enterococci Bacteria (Cells/100mL),Top Nitrate/Nitrite (mg/L),Top Ammonium (mg/L),Top Ortho-Phosphorus (mg/L),Top Total Kjeldhal Nitrogen (mg/L),Top Silica (mg/L),Total Phosphorus(mg/L),Top Total Suspended Solid (mg/L),Top Active Chlorophyll 'A' (µg/L),Chlorophyll Top Sample Field (u/L (YSI),TOP Total Organic Carbon (mg/L),Top Dissolved Organic Carbon (mg/L),Top Dissolved Organic Carbon YSI (mg/L),Top Sample Depth  YSI (ft),Top Sample Salinity YSI (psu),Top Sample Temperature  YSI (ºC),Top Bacteria # per C.C. 1909,Top Beam Attenuation Coefficient,Top Five-Day Biochemical Oxygen Demand(mg/L),Top PCB Plate Count (Thous/mL) ,Top Coliform (Log No/mL),Oakwood BOD Top Sample (mg/L) ,Oakwood  Total Suspended Solid Top Sample  (mg/L),Oakwood Total Suspended Solid Bottom Sample (mg/L),Top Turbidity( Nephelometric Turbidity Units),Sampling Comment,Long,Lat,Type
J1,,6/29/1909,1:20 PM,,20.5,,1,,,,,,,,,,,,,,Ebb,,,,,,,,,,,,,,,,,,,,,,,,,,,2800,,,,,,,,,,-73.884667,40.573333,Permanent
J1,,6/29/1909,1:20 PM,,20.5,,1,,,,,,,,,,,,,,Ebb,,,,5.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.884667,40.573333,Permanent
J1,,6/29/1909,1:30 PM,,,,,,,,,,,,,,,,,,Ebb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.884667,40.573333,Permanent
J1,,6/29/1909,3:04 PM,,19,,1,,,,,,,,,,,,,,Flood,,,,,,,,,,,,,,,,,,,,,,,,,,,1100,,,,,,,,,,-73.884667,40.573333,Permanent
J1,,9/17/1909,11:00 AM,,19.5,,1,,,,,,,,,,,,,,Ebb,,,,,,,,,,,,,,,,,,,,,,,,,,,3500,,,,,,,,,,-73.884667,40.573333,Permanent
J1,,9/17/1909,11:00 AM,,19.5,,1,,,,,,,,,,,,,,Ebb,,,,4.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.884667,40.573333,Permanent
J1,,9/17/1909,11:05 AM,,,,,,,,,,,,,,,,,,Ebb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.884667,40.573333,Permanent
J1,,9/17/1909,11:05 AM,,,,,,,,,,,,,,,,,,Ebb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.884667,40.573333,Permanent
J1,,9/8/1921,11:55 AM,,23,30,,33.95,,,,,,,,,,,,,E,,,,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.884667,40.573333,Permanent
J1,,6/30/1925,1:00 PM,,23.3,30,,31.5,,,,,,,,,,,,,E,,,,7.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.884667,40.573333,Permanent
