Sampling Location,Sample Date,Top Sample Temperature (ºC),Winkler Method Top Dissolved Oxygen (mg/L),Top Salinity  (psu),Top PH,Secchi Depth (ft),Top Active Chlorophyll 'A' (µg/L),Total Phosphorus(mg/L),Top Ammonium (mg/L),Top Total Kjeldhal Nitrogen (mg/L),Top Nitrate/Nitrite (mg/L)
J5,1995-06-14,19.98,9.32,27.92,7.95,,111.4,0.25,0.11,,0.15
J5,1995-06-21,21.62,6.67,28.75,8.05,3.0,61.9,0.24,0.14,,0.052
J5,1995-07-13,23.61,6.04,27.92,7.7,4.0,37.7,0.22,0.26,,0.31
J5,1995-07-27,,4.46,,7.56,5.0,23.0,0.38,0.3,,0.27
J5,1995-08-22,25.36,7.52,28.62,7.87,3.5,52.6,0.28,0.17,,0.21
J5,1995-08-29,23.31,4.71,28.1,7.73,4.0,23.6,0.26,0.2,,0.22
J5,1995-09-07,23.85,5.68,28.78,,5.0,26.1,0.28,0.25,,0.36
J5,1995-09-20,20.41,10.46,27.66,,4.0,49.5,0.26,0.33,,0.47
J5,1996-06-06,19.5,6.52,26.1,7.54,2.0,8.3,0.13,0.446,1.15,0.222
J5,1996-06-26,22.59,9.98,25.23,8.41,3.0,69.7,0.202,0.018,0.971,0.076
J5,1996-07-10,23.45,7.47,25.65,7.56,4.5,50.8,0.269,0.374,1.38,0.351
J5,1996-07-22,20.97,7.31,26.09,7.53,5.0,35.4,0.224,0.266,1.28,0.348
J5,1996-08-05,23.17,5.61,26.32,7.75,6.0,22.3,0.154,0.332,0.88,0.292
J5,1996-08-20,24.46,6.33,26.27,7.62,4.0,35.5,0.206,0.329,0.834,0.248
J5,1996-08-28,24.86,7.02,25.62,7.81,3.0,40.8,0.25,0.228,1.08,0.204
J5,1996-09-09,25.38,6.68,25.94,,3.0,46.0,0.299,0.776,1.52,0.233
J5,1996-09-16,22.7,5.57,26.5,7.43,6.0,34.1,0.261,0.543,1.25,0.295
J5,1996-09-24,19.63,5.34,25.27,7.38,5.0,28.7,0.242,0.608,1.06,0.388
J5,1997-06-05,16.22,7.2,26.13,7.46,6.0,17.1,0.175,0.54,1.21,0.278
J5,1997-06-12,19.69,7.04,26.85,7.5,6.5,89.5,0.206,0.49,0.948,0.305
J5,1997-06-23,22.73,11.34,26.38,8.19,2.5,62.8,0.24,0.094,1.18,0.212
J5,1997-06-30,23.78,10.37,26.82,8.33,4.0,79.9,0.236,0.049,0.823,0.102
J5,1997-07-10,23.18,4.9,27.67,7.4,7.0,18.9,,0.405,1.08,0.166
J5,1997-07-21,24.04,6.47,27.23,7.75,3.5,59.3,0.334,0.187,1.38,0.149
J5,1997-07-28,22.8,8.0,25.82,7.74,5.5,66.5,0.308,0.367,1.12,0.186
J5,1997-08-04,24.14,7.16,26.3,7.99,4.5,63.7,0.295,0.227,1.18,0.109
J5,1997-08-12,23.79,4.58,26.58,7.4,4.5,45.9,0.494,0.442,2.71,0.215
J5,1997-08-25,22.86,7.93,27.03,7.78,3.5,53.7,0.244,0.422,1.37,0.214
J5,1997-09-04,22.46,9.38,26.55,8.19,2.0,53.3,0.214,0.036,1.16,0.242
J5,1997-09-16,22.21,7.3,26.79,8.06,2.5,50.5,0.396,0.213,1.65,0.198
J5,1998-06-03,19.43,8.31,25.73,,,39.4,0.116,0.225,1.03,0.268
J5,1998-06-11,18.18,9.7,25.93,8.19,3.0,38.2,0.135,0.064,1.12,0.201
J5,1998-06-18,20.16,5.81,25.9,7.4,5.5,5.1,0.171,0.421,1.29,0.251
J5,1998-06-25,22.45,5.86,25.65,7.58,5.0,28.0,0.188,0.324,1.19,0.295
J5,1998-07-13,22.7,8.65,26.29,8.08,3.0,65.9,0.173,0.078,1.38,0.219
J5,1998-07-20,,6.29,,8.03,3.5,43.2,0.367,0.193,1.44,0.175
J5,1998-07-27,,11.25,,8.44,3.5,75.1,0.252,0.005,1.67,0.118
J5,1998-08-06,25.99,12.24,26.44,8.61,2.5,65.3,0.443,0.019,1.72,0.067
J5,1998-08-20,24.4,4.15,26.9,,4.5,,,,,
J5,1998-09-01,26.1,8.26,27.2,,4.0,,,,,
J5,1998-09-16,22.17,8.61,26.76,7.81,3.5,25.4,0.218,0.262,1.49,0.185
J5,1999-06-09,23.36,9.05,26.9,8.25,3.5,47.6,0.396,0.18,1.97,0.128
J5,1999-06-15,21.86,7.81,27.64,7.94,4.5,40.7,0.275,0.091,1.43,0.115
J5,1999-06-21,20.91,6.96,28.05,7.78,5.0,26.0,0.238,0.137,1.38,0.135
J5,1999-07-07,26.1,10.06,27.76,7.97,3.5,61.6,0.299,0.016,1.62,0.08
J5,1999-07-15,23.41,11.22,28.32,8.24,2.0,56.5,0.326,0.029,1.38,0.048
J5,1999-07-22,25.03,2.38,28.3,7.33,4.0,30.7,0.31,0.341,1.37,0.161
J5,1999-08-04,26.51,5.7,28.97,7.13,3.0,31.8,0.227,0.297,1.6,0.126
J5,1999-08-19,25.28,6.64,28.84,7.27,4.5,36.8,0.257,0.662,2.05,0.285
J5,1999-09-08,24.0,5.83,28.41,7.14,5.0,12.0,0.266,0.619,1.4,0.391
J5,1999-09-28,20.65,6.45,24.94,7.08,5.0,12.9,0.211,0.535,1.47,0.489
J5,2000-06-29,,7.8,,7.68,3.5,30.83,0.156,0.065,0.378,0.128
J5,2000-07-13,,13.89,,8.07,2.0,100.749,0.258,0.016,1.024,0.011
J5,2000-07-26,22.5695,7.08,26.5787,7.86,4.0,23.3448,0.297,0.048,1.08,0.056
J5,2000-08-10,25.7793,5.8,25.7586,7.28,4.0,28.46,0.315,0.406,1.359,0.157
