Sampling Location,Sample Date,Top Sample Temperature (ºC),Winkler Method Top Dissolved Oxygen (mg/L),Top Salinity  (psu),Top PH,Secchi Depth (ft),Top Active Chlorophyll 'A' (µg/L),Total Phosphorus(mg/L),Top Ammonium (mg/L),Top Total Kjeldhal Nitrogen (mg/L),Top Nitrate/Nitrite (mg/L)
N16,1995-06-21,16.1,8.32,30.94,7.85,7.0,23.8,0.07,0.007,,0.009
N16,1995-07-13,20.34,8.44,30.56,7.94,6.0,9.3,0.065,0.11,,0.009
N16,1995-07-27,19.05,5.61,31.47,7.61,9.0,83.8,0.1,0.054,,0.011
N16,1995-08-22,24.52,8.45,29.36,7.99,4.5,38.0,0.11,0.026,,0.071
N16,1995-08-29,22.3,8.42,30.73,8.21,5.5,14.3,0.075,0.01,,0.005
N16,1995-09-07,22.71,6.52,30.77,,6.5,10.9,0.098,0.05,,0.026
N16,1995-09-20,20.21,,30.11,,5.0,27.7,0.14,0.25,,0.13
N16,1996-06-06,16.9,8.34,,7.89,6.5,7.7,0.048,0.054,0.438,0.018
N16,1996-06-26,21.12,9.98,26.79,8.14,5.0,44.6,0.113,0.006,0.695,0.035
N16,1996-07-10,20.56,7.08,28.09,7.49,8.5,13.5,0.124,0.24,0.755,0.154
N16,1996-07-22,10.09,7.88,31.69,7.86,6.0,5.1,0.059,0.045,0.298,0.026
N16,1996-08-05,,,,,,,,,,
N16,1996-08-20,21.97,7.68,29.58,8.02,8.0,9.8,0.055,0.01,0.327,0.009
N16,1996-08-28,,,,,,,,,,
N16,1996-09-09,24.03,6.16,28.01,,7.5,6.5,0.189,0.239,0.937,0.074
N16,1996-09-16,21.7,6.37,30.1,7.65,12.0,3.7,0.041,0.127,0.384,0.034
N16,1996-09-24,19.11,6.3,29.17,7.65,8.0,5.2,0.093,0.275,0.559,0.124
N16,1997-06-05,,,,,,,,,,
N16,1997-06-12,16.47,9.03,29.61,7.88,11.5,12.1,0.043,0.04,0.234,0.029
N16,1997-06-23,16.64,8.13,30.05,7.89,14.0,9.7,0.047,0.013,0.371,0.006
N16,1997-06-30,20.08,8.16,29.16,8.02,9.0,8.9,0.107,0.057,0.414,0.04
N16,1997-07-10,18.08,8.48,30.05,7.78,12.0,7.8,,0.013,0.234,0.01
N16,1997-07-21,15.97,7.51,30.51,7.53,10.0,3.4,0.065,0.021,0.366,0.01
N16,1997-07-28,20.71,6.94,28.22,7.54,8.5,21.0,0.156,0.33,0.83,0.082
N16,1997-08-04,20.18,7.15,29.84,7.8,10.0,5.8,0.062,0.029,0.384,0.007
N16,1997-08-12,21.75,6.1,28.71,7.55,5.5,33.7,0.185,0.196,0.927,0.087
N16,1997-08-25,22.33,7.67,29.84,7.89,8.0,16.5,0.082,0.164,0.546,0.062
N16,1997-09-04,20.04,7.99,30.51,7.82,6.5,8.7,0.032,0.008,0.32,0.014
N16,1997-09-16,20.64,6.34,30.55,7.88,8.5,12.4,0.099,0.028,0.39,0.02
N16,1998-06-03,16.56,8.06,26.66,7.87,9.5,7.5,0.043,0.151,0.604,0.139
N16,1998-06-11,14.12,8.47,30.99,7.81,17.5,1.0,0.043,0.058,0.492,0.009
N16,1998-06-18,17.33,6.75,27.64,7.49,10.0,3.4,0.072,0.204,0.894,0.111
N16,1998-06-25,20.93,7.36,29.65,7.82,10.0,3.8,0.037,0.046,0.915,0.013
N16,1998-07-13,18.69,7.9,29.55,8.08,11.0,8.4,0.01,0.006,0.517,0.005
N16,1998-07-20,20.71,7.03,28.74,8.16,9.0,5.2,0.198,0.082,0.778,0.046
N16,1998-07-27,,7.89,,8.21,8.5,7.0,0.062,0.005,0.537,0.005
N16,1998-08-06,22.13,8.21,28.85,8.37,8.0,15.0,0.101,0.028,0.616,0.006
N16,1998-08-20,22.5,6.52,28.3,,24.0,,,,,
N16,1998-09-01,24.5,6.83,28.9,,12.0,,,,,
N16,1998-09-16,,,,,,,,,,
N16,1999-06-09,16.68,7.93,29.97,7.62,13.0,8.8,0.239,0.051,0.99,0.033
N16,1999-06-15,18.83,7.49,30.32,7.83,13.0,3.3,0.138,0.056,0.849,0.016
N16,1999-06-21,19.91,6.63,29.64,7.62,9.0,6.0,0.138,0.163,1.02,0.041
N16,1999-07-07,17.39,6.99,31.04,7.45,9.5,4.2,0.043,0.024,0.378,0.009
N16,1999-07-15,20.54,8.74,31.35,7.94,11.5,9.4,0.029,0.025,0.365,0.005
N16,1999-07-22,23.28,5.34,30.12,7.55,7.0,15.6,0.14,0.202,0.804,0.058
N16,1999-08-04,24.24,7.2,31.3,7.36,17.0,4.9,0.028,0.005,0.481,0.008
N16,1999-08-19,22.41,7.75,30.75,7.45,7.5,25.6,0.064,0.054,0.667,0.025
N16,1999-09-08,22.75,6.11,30.92,7.44,8.0,7.0,0.101,0.212,0.722,0.074
N16,1999-09-28,19.67,10.76,30.21,7.72,7.0,20.4,0.045,0.015,0.505,0.013
N16,2000-06-12,,8.81,,7.42,7.0,2.9,0.136,0.154,0.866,0.242
N16,2000-06-29,,7.36,,7.44,7.0,11.14,0.049,0.065,0.151,0.043
N16,2000-07-13,,7.76,,7.47,9.0,5.6232,0.085,0.103,0.46,0.14
N16,2000-07-19,21.8115,8.08,30.4609,7.64,7.0,5.84,0.036,0.004,0.29,0.003
N16,2000-08-10,22.9988,6.19,29.0208,7.4,12.0,5.88,0.107,0.131,0.552,0.082
N16,2000-08-22,20.9071,8.07,30.0174,7.62,11.0,10.61,0.059,0.008,0.52,0.025
N16,2000-09-06,21.39,6.51,30.2192,7.52,7.0,3.07,0.102,0.07,0.525,0.022
N16,2001-06-11,,10.0,,8.02,6.5,18.64,0.075,0.031,0.853,0.015
N16,2001-06-19,,6.8,,8.13,3.0,23.52,0.113,0.091,0.736,0.07
N16,2001-07-16,16.9116,6.8,30.9366,8.0,12.0,7.12,0.085,0.04,0.473,0.006
N16,2001-07-23,,7.5,,8.06,8.0,7.92,0.084,0.048,0.447,0.016
N16,2001-08-07,21.8614,7.3,30.7628,8.09,8.0,13.26,0.059,0.026,0.448,0.014
N16,2001-08-14,22.786,6.0,30.5084,8.02,5.0,2.4,0.054,0.102,0.482,0.021
N16,2001-09-17,,7.3,,8.22,11.0,5.64,0.067,0.058,0.446,0.017
N16,2001-09-26,20.2679,6.2,24.6825,7.95,6.5,7.18,0.147,0.27,1.01,0.159
N16,2002-06-04,,8.98,,8.03,8.0,13.5,,0.01,,0.019
N16,2002-06-11,,8.37,,8.22,8.0,13.98,0.131,0.002,0.85,0.004
N16,2002-06-17,,6.43,,8.08,4.0,2.37,0.082,0.026,0.37,0.015
N16,2002-06-25,,8.02,,7.73,6.5,5.99,0.074,0.024,0.329,0.012
N16,2002-07-02,,8.61,,7.99,6.5,9.48,0.086,0.013,0.367,0.006
N16,2002-07-09,,7.91,,7.85,9.0,93.4,0.094,0.044,0.478,0.02
N16,2002-07-16,20.56,9.07,33.76,8.09,13.0,2.13,0.056,0.006,0.514,0.007
N16,2002-07-23,23.99,6.5,33.79,8.09,6.0,4.26,0.066,0.076,0.482,0.002
N16,2002-07-30,22.64,6.54,33.93,7.95,14.0,3.5,0.062,0.098,0.481,0.002
N16,2002-08-06,24.31,6.44,32.08,7.89,5.0,15.0,0.128,0.15,0.692,0.048
N16,2002-08-20,23.86,6.43,32.94,7.87,7.0,14.8,0.162,0.136,0.926,0.071
N16,2002-08-27,22.99,6.74,34.05,8.07,7.0,8.0,0.069,0.221,0.608,0.114
N16,2002-09-10,21.57,8.91,33.84,8.16,8.0,14.56,0.084,0.018,0.427,0.028
N16,2002-09-17,20.13,7.62,33.12,,10.5,11.31,0.116,0.142,0.694,0.118
N16,2002-09-24,20.96,6.94,33.92,8.13,7.5,5.63,0.08,0.02,0.489,0.022
N16,2003-06-03,,8.89,,7.5,7.0,3.75,0.08,0.22,0.66,0.22
N16,2003-06-17,17.22,7.49,31.95,7.88,7.0,2.36,0.06,0.06,0.64,0.02
N16,2003-07-01,16.68,9.19,33.0,8.08,16.5,1.38976,0.046,0.008,0.282,0.002
N16,2003-07-08,17.65,7.38,33.27,7.9,17.5,1.112,0.056,0.043,0.259,0.014
N16,2003-07-15,,8.29,,7.98,14.0,1.812,0.056,0.025,0.431,0.007
N16,2003-07-22,,,,,,,,,,
N16,2003-07-29,,7.24,,7.42,11.5,4.7124,0.056,0.048,0.444,0.016
N16,2003-08-12,,7.58,,7.48,8.0,4.58,0.05,0.05,0.88,0.02
N16,2003-08-20,,7.21,,7.8,5.5,8.51,0.06,0.04,0.52,0.03
N16,2003-08-26,,6.37,,7.56,13.0,2.6,0.09,0.06,0.58,0.01
N16,2003-09-16,,7.23,,8.01,7.0,3.652,0.076,0.039,0.866,0.012
N16,2003-09-30,,6.68,,7.81,10.0,2.908,0.066,0.092,0.484,0.056
N16,2004-06-01,,,,,,,,,,
N16,2004-06-08,16.39,8.29,27.75,7.88,12.0,2.3,0.048,0.067,0.48,0.035
N16,2004-06-15,17.57,8.47,26.04,8.52,10.0,8.0,0.059,0.044,0.65,0.036
N16,2004-06-22,14.16,8.73,28.34,7.85,10.0,12.0,0.078,0.006,0.81,0.004
N16,2004-06-29,17.86,8.18,27.2,8.19,9.0,12.8,0.103,0.033,0.5,0.025
N16,2004-07-07,20.47,8.95,28.38,8.13,11.0,4.0,0.163,0.003,0.37,0.002
N16,2004-07-13,,,,,,,,,,
N16,2004-07-20,21.1,7.89,28.16,7.95,16.0,5.0,0.045,0.034,0.42,0.013
N16,2004-07-27,,,,,,,,,,
N16,2004-08-10,22.44,6.75,25.49,7.95,5.5,10.1,0.098,0.112,0.73,0.079
N16,2004-08-17,21.58,7.22,27.54,7.69,7.0,15.0,0.138,0.048,0.74,0.008
N16,2004-08-24,20.77,8.28,28.02,7.88,6.0,14.3,0.071,0.003,0.44,0.012
N16,2004-08-31,,,,,,,,,,
N16,2004-09-21,,7.74,,8.07,14.0,10.2,0.053,0.028,0.26,0.022
N16,2004-09-28,20.47,7.34,27.77,8.1,8.0,11.5,0.968,0.016,0.55,0.011
N16,2005-06-01,13.57,8.94,28.39,8.0,17.0,4.84,0.023,0.072,0.37,0.05
N16,2005-06-07,15.33,10.08,28.58,7.78,9.0,7.66,0.1,0.006,0.3,0.004
N16,2005-06-14,13.25,8.15,30.05,7.8,16.0,2.62,0.039,0.016,0.17,0.01
N16,2005-06-21,17.7,7.78,29.06,7.71,24.0,2.4,0.063,0.056,0.32,0.016
N16,2005-06-28,,,,,,,,,,
N16,2005-07-06,20.78,7.33,29.65,7.92,23.0,14.56,0.011,0.022,0.24,0.006
N16,2005-07-12,20.76,8.18,28.51,7.76,8.0,12.86,0.112,0.114,0.37,0.1
N16,2005-08-03,21.42,5.89,29.11,7.64,27.5,0.54,0.07,0.094,0.74,0.03
N16,2005-08-16,23.2,5.21,28.86,7.58,8.0,4.62,0.12,0.17,0.85,0.044
N16,2005-08-23,22.79,7.96,30.0,8.02,27.0,1.21,0.036,0.024,0.37,0.007
N16,2005-08-30,23.81,6.89,28.85,7.77,9.0,7.32,0.112,0.209,0.74,0.085
N16,2005-09-07,,,,,,,,,,
N16,2005-09-13,22.48,6.5,29.31,7.78,12.5,6.26,0.102,0.204,0.57,0.084
N16,2005-09-27,19.93,6.75,30.11,7.87,8.5,7.68,0.104,0.106,0.38,0.054
N16,2006-06-06,16.81,8.89,29.91,7.96,10.0,4.13,0.036,0.021,0.72,0.014
N16,2006-06-20,16.18,7.6,29.53,7.72,16.0,3.35,0.062,0.074,0.41,0.032
N16,2006-06-27,,,,,,,,,,
N16,2006-07-06,16.18,9.58,27.12,8.06,5.0,18.2,0.064,0.007,0.76,0.006
N16,2006-07-11,,,,,,,,,,
N16,2006-07-18,22.93,8.55,29.66,7.9,8.5,4.86,0.044,0.028,0.67,0.006
N16,2006-07-25,22.04,7.94,28.95,7.84,9.0,2.07,0.068,0.088,0.62,0.036
N16,2006-08-01,22.83,10.21,28.63,8.67,7.0,9.36,0.055,0.029,0.8,0.006
N16,2006-08-09,23.74,7.73,30.63,7.91,18.0,1.68,0.04,0.026,0.66,0.002
N16,2006-08-22,22.1,4.7,29.91,7.97,12.0,4.18,0.056,0.082,0.7,0.03
N16,2006-08-29,,,,,,,,,,
N16,2006-09-06,20.28,6.9,29.15,7.73,9.0,3.59,0.086,0.266,0.88,0.101
N16,2006-09-19,21.16,8.61,27.41,7.81,6.5,16.61,0.085,0.153,0.33,0.194
N16,2006-09-26,18.9,6.69,30.51,7.64,8.0,9.5268,0.066,0.072,1.48,0.076
N16,2007-06-12,19.69,6.53,28.96,7.72,15.0,2.3,0.088,0.139,1.16,0.042
N16,2007-06-19,18.15,8.62,30.27,7.96,7.0,11.8,0.042,0.022,0.192,0.004
N16,2007-06-26,16.96,6.74,29.58,7.6,14.5,2.4,0.09,0.154,1.29,0.054
